Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,IAH,"George Bush Intercontinental",Houston-Intercontinental,TX,"United States",11,4104
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,4,3656
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,ADZ,"Gustavo R. Pinilla Int","San Andres Island",,Colombia,4,3472
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,13,3283
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,YYZ,"Lester B. Pearson Intl",Toronto,ON,Canada,6,3165
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,BAQ,"Ernesto Cortissoz International",Barranquilla,,Colombia,9,3145
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,LAS,"Mccarran Intl","Las Vegas",NV,"United States",4,3120
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,BSB,"J. Kubitschek Intl",Brasilia,DF,Brazil,6,3117
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,YUL,"Pierre E. Trudeau Intl",Montreal-PET,QC,Canada,12,3040
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,CNF,"Tancredo Never International","Belo Horizonte",MG,Brazil,7,2953
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,GDL,"Miguel Hidalgo Intl",Guadalajara,,Mexico,6,2880
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,KIN,"Norman Manley Intl",Kingston,,Jamaica,9,2801
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,SCU,"Antonio Maceo Intl","Santiago de Cuba",,Cuba,18,2602
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,GEO,"Cheddi Jagan International",Georgetown,,Guyana,4,2528
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,PAP,"Toussaint Louverture","Port Au Prince",,Haiti,6,2522
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,BOS,"Logan International",Boston,MA,"United States",8,2484
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,POA,"Salgado Filho Intl","Porto Alegre",RS,Brazil,5,2482
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,FRA,"Frankfurt International Airport",Frankfurt,,Germany,3,2435
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,IST,Ataturk,Istanbul,,Turkey,3,2226
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,ROS,"Islas Malvinas",Rosario,SF,Argentina,2,2184
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,CMW,"Ignacio Agramonte International",Camaguey,,Cuba,16,2152
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,AUA,"Reina Beatrix",Aruba,,Aruba,9,1926
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,EWR,"Newark Intl",Newark,NJ,"United States",8,1924
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,PLS,"Providenciales Intl",Providenciales,,"Turks and Caicos Islands",44,1886
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,DXB,"Dubai International",Dubai,,"United Arab Emirates",1,1862
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,TGU,"Toncontin Intl",Tegucigalpa,,Honduras,7,1811
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,MAO,"Eduardo Gomes Intl",Manaus,AM,Brazil,5,1786
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,ATL,"Hartsfield-Jackson ATL",Atlanta,GA,"United States",6,1764
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,MBJ,"Sangster Intl","Montego Bay",,Jamaica,5,1628
