Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
MEX,"Benito Juarez Intl","Mexico City",,Mexico,SLW,"Plan de Guadalupe Intl",Saltillo,,Mexico,10,1100
MEX,"Benito Juarez Intl","Mexico City",,Mexico,ONT,"Ontario Intl",Ontario,CA,"United States",2,1050
MEX,"Benito Juarez Intl","Mexico City",,Mexico,DTW,"Metropolitan Wayne County",Detroit,MI,"United States",6,882
MEX,"Benito Juarez Intl","Mexico City",,Mexico,VRA,"Juan G. Gomez Intl",Varadero,,Cuba,5,837
MEX,"Benito Juarez Intl","Mexico City",,Mexico,MFE,"Miller International",McAllen,TX,"United States",2,684
MEX,"Benito Juarez Intl","Mexico City",,Mexico,SAN,"San Diego International Airport","San Diego",CA,"United States",1,350
MEX,"Benito Juarez Intl","Mexico City",,Mexico,SMF,"Sacramento International",Sacramento,CA,"United States",2,322
MEX,"Benito Juarez Intl","Mexico City",,Mexico,PQM,"Palenque International",Palenque,,Mexico,3,279
MEX,"Benito Juarez Intl","Mexico City",,Mexico,AUS,"Austin-Bergstrom International Airport",Austin,TX,"United States",2,252
MEX,"Benito Juarez Intl","Mexico City",,Mexico,SNU,"Abel Santamaria","Santa Clara",,Cuba,2,186
"No data",,,,,,,,,,,
